
"ModelPeriodEmissions","UTOPIA","CO2",296.626529
"ModelPeriodEmissions","UTOPIA","NOX",170.895000

"ModelPeriodCostByRegion","UTOPIA",43182.812223

"AccumulatedAnnualDemand","UTOPIA","TX",5.200000,5.460000,5.720000,5.980000,6.240000,6.500000,6.760000,7.020000,7.280000,7.540000,7.800000,8.189000,8.578000,8.967000,9.356000,9.745000,10.134000,10.523000,10.912000,11.301000,11.690000

"FuelProductionByTimeSlice","UTOPIA","ELC","IN",0.280000,1.881600,1.971200,2.060800,2.150400,2.240000,2.329600,2.419200,2.508800,2.598400,2.688000,2.822400,2.956800,3.091200,3.225600,3.360000,3.494400,3.628800,3.763200,3.897600,4.032000
"FuelProductionByTimeSlice","UTOPIA","ELC","SD",0.840000,0.882000,0.924000,0.966000,1.008000,1.050000,1.092000,1.134000,1.176000,1.218000,1.260000,1.323000,1.386000,1.449000,1.512000,1.575000,1.638000,1.701000,1.764000,1.827000,1.890000
"FuelProductionByTimeSlice","UTOPIA","ELC","SN",0.280000,0.294000,0.308000,0.322000,0.336000,0.350000,0.364000,0.378000,0.392000,0.406000,0.420000,0.441000,0.462000,0.483000,0.504000,0.525000,0.546000,0.567000,0.588000,0.609000,0.630000
"FuelProductionByTimeSlice","UTOPIA","ELC","WD",2.800000,3.823134,4.868686,5.897568,6.943120,7.972002,9.017554,10.046436,11.091988,12.120870,13.166422,14.609725,16.069698,17.513001,18.972974,20.416277,21.876250,23.319553,24.779526,26.222829,27.682802
"FuelProductionByTimeSlice","UTOPIA","ELC","WN",0.560000,1.381562,1.512966,1.985284,2.465932,2.938250,3.418898,3.891216,4.371864,4.844182,5.324830,5.983327,6.650154,7.308651,7.975478,8.633975,9.300802,9.959299,10.626126,11.284623,11.951450
"FuelProductionByTimeSlice","UTOPIA","GSL","ID",0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999,0.009999
"FuelProductionByTimeSlice","UTOPIA","GSL","IN",0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001
"FuelProductionByTimeSlice","UTOPIA","GSL","SD",0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001
"FuelProductionByTimeSlice","UTOPIA","GSL","SN",0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499
"FuelProductionByTimeSlice","UTOPIA","GSL","WD",0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001,0.005001
"FuelProductionByTimeSlice","UTOPIA","GSL","WN",0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499,0.002499
"FuelProductionByTimeSlice","UTOPIA","HCO","ID",1.383547,11.348611,11.952361,12.467425,13.071175,13.674925,14.189989,14.793739,15.397489,16.001239,16.516303,17.155870,18.061495,18.967120,19.872745,20.778370,21.683995,22.589620,23.495245,24.400870,25.217808
"FuelProductionByTimeSlice","UTOPIA","HCO","IN",0.254088,5.214731,5.494731,5.730375,6.010375,6.290375,6.526018,6.806018,7.086018,7.366018,7.601662,7.888593,8.308593,8.728593,9.148593,9.568593,9.988593,10.408593,10.828593,11.248593,11.624237
"FuelProductionByTimeSlice","UTOPIA","HCO","SD",2.004088,2.090981,2.222231,2.309125,2.440375,2.571625,2.658518,2.789768,2.921018,3.052268,3.139162,3.202968,3.399843,3.596718,3.793593,3.990468,4.187343,4.384218,4.581093,4.777968,4.930487
